"EmployeeID","Age","Attrition","DistanceFromHome","Education","Gender","JobLevel","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","BusinessTravelTravel_Frequently","BusinessTravelTravel_Rarely","DepartmentResearch & Development","DepartmentSales","EducationFieldLife Sciences","EducationFieldMarketing","EducationFieldMedical","EducationFieldOther","EducationFieldTechnical Degree","JobRoleHuman Resources","JobRoleLaboratory Technician","JobRoleManager","JobRoleManufacturing Director","JobRoleResearch Director","JobRoleResearch Scientist","JobRoleSales Executive","JobRoleSales Representative","MaritalStatusMarried","MaritalStatusSingle","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating","WorkHours"
1,51,1,6,2,1,1,131160,1,11,0,1,6,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,2,3,3,7
2,31,0,10,1,1,1,41890,0,23,1,6,3,5,1,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,4,2,4,8
3,32,1,17,4,0,4,193280,1,15,3,5,2,5,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,2,1,3,3,7
4,38,1,2,5,0,3,83210,3,11,3,13,5,8,7,5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,4,3,2,3,7
5,32,1,10,1,0,1,23420,4,12,2,9,2,6,0,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4,1,3,3,3,8
6,46,1,8,3,1,4,40710,3,13,0,28,5,7,7,7,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,2,3,3,11
7,28,0,11,2,0,2,58130,2,20,1,5,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,3,1,3,4,7
8,29,1,18,3,0,2,31430,2,22,3,10,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,3,3,4,7
9,31,1,1,3,0,3,20440,0,21,0,10,2,9,7,8,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,4,3,3,4,7
10,25,1,7,4,1,4,134640,1,13,1,6,2,6,1,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,3,3,3,7
11,45,1,17,2,0,2,79910,0,13,2,21,2,20,4,10,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,4,3,2,3,8
12,36,1,28,1,0,1,33770,0,12,2,16,2,15,10,11,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,4,3,3,3,7
13,55,1,14,4,1,1,55380,0,17,0,37,2,36,4,13,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,3,3,3,9
14,47,0,1,1,0,1,57620,1,11,2,10,4,10,9,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,2,2,2,3,9
15,28,1,1,3,0,1,25920,1,14,0,5,2,5,0,4,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,4,2,3,3,6
16,37,1,1,3,0,2,53460,4,11,0,7,2,5,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,4,3,3,7
17,21,1,3,2,0,1,42130,1,12,3,3,3,3,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,3,4,2,3,7
18,37,1,1,3,0,2,41270,2,13,1,15,2,5,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4,3,3,3,11
19,35,1,7,4,0,1,24380,7,16,0,10,5,7,6,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,2,3,7
20,38,1,8,3,1,1,68700,1,11,1,8,5,8,7,7,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,3,3,9
21,26,1,1,4,0,2,104470,1,18,0,6,3,6,1,4,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,2,1,3,3,8
22,50,1,8,4,0,1,96670,3,23,0,28,2,10,1,6,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,2,4,6
23,53,1,11,4,1,2,21480,3,11,0,21,2,5,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,3,2,3,3,8
24,42,1,4,4,0,1,89260,1,14,0,10,4,20,11,6,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,3,3,1,3,7
25,29,1,16,4,0,1,65130,1,11,1,10,2,10,0,9,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,4,2,3,3,7
26,55,1,1,4,1,1,67990,3,11,0,12,2,10,0,8,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,4,3,3,3,9
27,26,1,9,3,1,1,162910,1,22,0,5,3,5,3,3,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,3,3,4,11
28,37,1,5,1,0,1,27050,1,11,0,17,2,17,5,7,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4,4,3,3,3,8
29,44,0,1,2,0,2,103330,3,14,1,19,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,3,1,2,3,11
30,38,1,2,3,1,1,44480,9,12,0,10,3,2,1,2,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,3,2,3,7
31,26,0,4,3,0,3,68540,2,11,0,5,5,3,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3,2,3,10
32,28,1,7,3,0,1,96370,1,13,0,5,6,5,0,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4,4,3,2,3,7
33,49,1,1,1,1,2,35910,9,13,0,22,2,3,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,1,3,3,3,11
34,36,1,5,3,0,3,54050,4,14,0,10,2,8,7,7,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,2,3,3,3,6
35,31,1,9,4,0,1,46840,1,16,1,2,4,2,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,2,2,3,3,7
36,26,0,8,3,0,2,157870,1,12,2,8,5,8,7,4,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4,4,3,3,3,10
37,37,1,9,1,0,1,15140,1,14,0,4,3,4,1,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,4,2,3,3,10
38,42,1,2,2,0,3,29560,5,13,0,23,2,20,4,8,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,4,3,3,6
39,18,0,1,4,0,1,23350,1,14,2,0,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,3,2,3,7
40,35,1,20,2,0,1,51540,0,19,0,12,2,11,6,9,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,2,2,2,3,8
41,36,1,8,3,1,3,69620,4,12,2,4,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,3,3,2,3,7
42,51,1,2,3,0,2,56750,5,13,0,13,2,4,1,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,3,2,3,8
43,41,1,29,1,0,1,23790,1,12,0,22,6,22,0,4,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,2,3,3,3,7
44,18,1,7,3,0,1,38120,1,15,0,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,3,3,3,3,7
45,28,1,9,3,0,1,46480,0,23,2,9,2,8,0,7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,3,2,4,7
46,31,1,8,1,0,1,29360,4,12,1,10,2,8,7,7,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,4,2,3,3,7
47,39,1,5,4,1,2,21050,0,20,0,19,3,18,3,7,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4,2,3,4,8
48,36,1,5,4,0,1,85780,7,21,0,11,4,9,0,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,3,3,4,8
49,32,1,2,3,0,2,27060,1,21,1,13,4,13,4,8,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4,3,2,3,4,7
50,38,1,5,2,1,3,63840,3,19,2,19,4,10,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,3,2,3,7
51,58,1,2,3,0,2,39680,2,13,2,12,3,5,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,3,2,3,11
